,Age in 5-year groups,Type of place of residence,Number of household members,Source of drinking water,Has electricity,Type of toilet facility,Has radio,Time to get to water source (minutes),Age of head of household,under-5 mortality
2655,20-24,urban,,,yes,,,,55.0,0.0
2656,20-24,urban,,,yes,,,,45.0,0.0
2657,20-24,urban,,,yes,,,,35.0,0.16666666666666666
2658,20-24,urban,,,yes,,,,40.0,0.08333333333333333
2659,20-24,urban,,,yes,,,,42.0,0.1
2660,20-24,urban,,,,,no,,,0.14857142857142858
2661,20-24,urban,,,,,yes,,49.0,0.0
2662,20-24,urban,,,,,yes,,23.0,0.0
2663,20-24,urban,,,,,yes,,55.0,0.1111111111111111
2664,20-24,urban,,,,,yes,,25.0,0.2
2665,20-24,urban,,,,,yes,,45.0,0.125
2666,20-24,urban,,,,,yes,,36.0,0.14285714285714285
2667,20-24,urban,,,,,yes,,,0.14705882352941177
2668,20-24,urban,,,,,yes,,35.0,0.1111111111111111
2669,20-24,urban,,,,,yes,,40.0,0.06666666666666667
2670,20-24,urban,,,,,yes,,65.0,0.125
2671,20-24,urban,,,,,yes,,42.0,0.13333333333333333
2672,20-24,urban,,,,,yes,,50.0,0.4
2673,20-24,urban,,,,,yes,,27.0,0.22727272727272727
2674,20-24,urban,,,,,yes,,30.0,0.05
2675,20-24,urban,,,,,yes,,48.0,0.36363636363636365
2676,20-24,urban,,,,,yes,,60.0,0.21428571428571427
2677,20-24,urban,,,,,yes,,56.0,0.0
2678,20-24,urban,,,,,yes,,52.0,0.2
2679,20-24,urban,,,,,yes,,28.0,0.2
2680,20-24,urban,,,,,yes,,24.0,0.2
2681,20-24,urban,,,,,yes,,22.0,0.0
2682,20-24,urban,,,,,,,49.0,0.0
2683,20-24,urban,,,,,,,23.0,0.0
2684,20-24,urban,,,,,,,55.0,0.13043478260869565
2685,20-24,urban,,,,,,,25.0,0.21621621621621623
2686,20-24,urban,,,,,,,45.0,0.13636363636363635
2687,20-24,urban,,,,,,,36.0,0.1111111111111111
2688,20-24,urban,,,,,,,,0.14746543778801843
2689,20-24,urban,,,,,,,35.0,0.15789473684210525
2690,20-24,urban,,,,,,,32.0,0.0
2691,20-24,urban,,,,,,,40.0,0.13043478260869565
2692,20-24,urban,,,,,,,72.0,0.2
2693,20-24,urban,,,,,,,65.0,0.125
2694,20-24,urban,,,,,,,42.0,0.1111111111111111
2695,20-24,urban,,,,,,,57.0,0.1
2696,20-24,urban,,,,,,,38.0,0.25
2697,20-24,urban,,,,,,,54.0,0.0
2698,20-24,urban,,,,,,,50.0,0.25
2699,20-24,urban,,,,,,,27.0,0.1875
2700,20-24,urban,,,,,,,30.0,0.1
2701,20-24,urban,,,,,,,29.0,0.058823529411764705
2702,20-24,urban,,,,,,,48.0,0.35714285714285715
2703,20-24,urban,,,,,,,60.0,0.2
2704,20-24,urban,,,,,,,39.0,0.0
2705,20-24,urban,,,,,,,56.0,0.0
2706,20-24,urban,,,,,,,52.0,0.18181818181818182
2707,20-24,urban,,,,,,,28.0,0.13043478260869565
2708,20-24,urban,,,,,,,26.0,0.1111111111111111
2709,20-24,urban,,,,,,,24.0,0.17647058823529413
2710,20-24,urban,,,,,,,20.0,0.2
2711,20-24,urban,,,,,,,22.0,0.15
2712,20-24,urban,,,,,,,51.0,0.0
2713,20-24,urban,,,,flush to septic tank,,,,0.125
2714,20-24,urban,,,,flush to septic tank,yes,,,0.14285714285714285
2715,20-24,urban,,,yes,flush to septic tank,,,,0.1388888888888889
2716,20-24,urban,,,yes,flush to septic tank,yes,,,0.15151515151515152
2717,20-24,urban,,,,flush to piped sewer system,,,,0.0
2718,20-24,urban,,,,flush to piped sewer system,yes,,,0.0
2719,20-24,urban,,,yes,flush to piped sewer system,,,,0.0
2720,20-24,urban,,,yes,flush to piped sewer system,yes,,,0.0
2721,20-24,urban,,,no,hanging toilet/latrine,,,,0.36363636363636365
2722,20-24,urban,,,,hanging toilet/latrine,,,,0.25
2723,20-24,urban,,,,hanging toilet/latrine,yes,,,0.0
2724,20-24,urban,,,no,pit latrine without slab/open pit,,0.0,,0.23529411764705882
2725,20-24,urban,,,no,pit latrine without slab/open pit,yes,0.0,,0.26666666666666666
2726,20-24,urban,,,,pit latrine without slab/open pit,,0.0,,0.2222222222222222
2727,20-24,urban,,,,pit latrine without slab/open pit,yes,0.0,,0.25
2728,20-24,urban,,,no,,no,0.0,,0.125
2729,20-24,urban,,,no,,yes,0.0,,0.21428571428571427
2730,20-24,urban,,,no,,,0.0,,0.1896551724137931
2731,20-24,urban,,,yes,,,0.0,,0.16363636363636364
2732,20-24,urban,,,yes,,yes,0.0,,0.16981132075471697
2733,20-24,urban,,,,,no,0.0,,0.1111111111111111
2734,20-24,urban,,,,,yes,0.0,,0.18947368421052632
2735,20-24,urban,,,,,yes,0.0,65.0,0.0
2736,20-24,urban,,,,,,0.0,,0.17699115044247787
2737,20-24,urban,,,,,,0.0,35.0,0.2
2738,20-24,urban,,,,,,0.0,65.0,0.0
2739,20-24,urban,,,no,pit latrine with slab,,0.0,,0.041666666666666664
2740,20-24,urban,,,no,pit latrine with slab,yes,0.0,,0.0
2741,20-24,urban,,,yes,pit latrine with slab,,0.0,,0.16666666666666666
2742,20-24,urban,,,yes,pit latrine with slab,yes,0.0,,0.16666666666666666
2743,20-24,urban,,,,pit latrine with slab,,0.0,,0.10416666666666667
2744,20-24,urban,,,,pit latrine with slab,yes,0.0,,0.0975609756097561
2745,20-24,urban,,,,ventilated improved pit latrine (vip),,0.0,,0.375
2746,20-24,urban,,,,ventilated improved pit latrine (vip),yes,0.0,,0.6
2747,20-24,urban,,,,flush to septic tank,,0.0,,0.1111111111111111
2748,20-24,urban,,,,flush to septic tank,yes,0.0,,0.14285714285714285
2749,20-24,urban,,,yes,flush to septic tank,,0.0,,0.125
2750,20-24,urban,,,yes,flush to septic tank,yes,0.0,,0.14285714285714285
2751,20-24,urban,,,,flush to piped sewer system,,0.0,,0.0
2752,20-24,urban,,,,flush to piped sewer system,yes,0.0,,0.0
2753,20-24,urban,,,yes,flush to piped sewer system,,0.0,,0.0
2754,20-24,urban,,,yes,flush to piped sewer system,yes,0.0,,0.0
2755,20-24,urban,,,no,,no,10.0,,0.08333333333333333
2756,20-24,urban,,,no,,yes,10.0,,0.15
2757,20-24,urban,,,no,,,10.0,,0.125
2758,20-24,urban,,,yes,,,10.0,,0.047619047619047616
2759,20-24,urban,,,yes,,yes,10.0,,0.05263157894736842
2760,20-24,urban,,,,,no,10.0,,0.07692307692307693
2761,20-24,urban,,,,,yes,10.0,,0.11864406779661017
2762,20-24,urban,,,,,yes,10.0,40.0,0.0
2763,20-24,urban,,,,,,10.0,,0.10588235294117647
2764,20-24,urban,,,,,,10.0,40.0,0.0
2765,20-24,urban,,,no,pit latrine with slab,,10.0,,0.13333333333333333
2766,20-24,urban,,,no,pit latrine with slab,yes,10.0,,0.16666666666666666
2767,20-24,urban,,,yes,pit latrine with slab,,10.0,,0.0
2768,20-24,urban,,,yes,pit latrine with slab,yes,10.0,,0.0
2769,20-24,urban,,,,pit latrine with slab,,10.0,,0.10810810810810811
2770,20-24,urban,,,,pit latrine with slab,yes,10.0,,0.125
2771,20-24,urban,,,no,ventilated improved pit latrine (vip),,10.0,,0.07692307692307693
2772,20-24,urban,,,,ventilated improved pit latrine (vip),,10.0,,0.10526315789473684
2773,20-24,urban,,,,ventilated improved pit latrine (vip),yes,10.0,,0.13333333333333333
2774,20-24,urban,,,,flush to septic tank,,10.0,,0.0
2775,20-24,urban,,,,flush to septic tank,yes,10.0,,0.0
2776,20-24,urban,,,yes,flush to septic tank,,10.0,,0.0
2777,20-24,urban,,,yes,flush to septic tank,yes,10.0,,0.0
2778,20-24,urban,,,no,,,15.0,,0.1111111111111111
2779,20-24,urban,,,no,,yes,15.0,,0.16666666666666666
2780,20-24,urban,,,yes,,,15.0,,0.13043478260869565
2781,20-24,urban,,,yes,,yes,15.0,,0.125
2782,20-24,urban,,,,,no,15.0,,0.05263157894736842
2783,20-24,urban,,,,,yes,15.0,,0.15
2784,20-24,urban,,,,,,15.0,,0.11864406779661017
2785,20-24,urban,,,no,pit latrine with slab,,15.0,,0.16666666666666666
2786,20-24,urban,,,no,pit latrine with slab,yes,15.0,,0.25
2787,20-24,urban,,,yes,pit latrine with slab,,15.0,,0.08333333333333333
2788,20-24,urban,,,,pit latrine with slab,,15.0,,0.125
2789,20-24,urban,,,,pit latrine with slab,yes,15.0,,0.16666666666666666
2790,20-24,urban,,,no,ventilated improved pit latrine (vip),,15.0,,0.1
2791,20-24,urban,,,,ventilated improved pit latrine (vip),,15.0,,0.125
2792,20-24,urban,,,,pit latrine without slab/open pit,,60.0,,0.13333333333333333
2793,20-24,urban,,,no,,,60.0,,0.17647058823529413
2794,20-24,urban,,,no,,yes,60.0,,0.14285714285714285
2795,20-24,urban,,,yes,,,60.0,,0.038461538461538464
2796,20-24,urban,,,yes,,yes,60.0,,0.0
2797,20-24,urban,,,,,no,60.0,,0.17391304347826086
2798,20-24,urban,,,,,yes,60.0,,0.08108108108108109
2799,20-24,urban,,,,,,60.0,,0.11666666666666667
2800,20-24,urban,,,,pit latrine with slab,,60.0,,0.05
2801,20-24,urban,,,,pit latrine with slab,yes,60.0,,0.0
2802,20-24,urban,,,no,,,5.0,,0.1111111111111111
2803,20-24,urban,,,no,,yes,5.0,,0.0967741935483871
2804,20-24,urban,,,yes,,,5.0,,0.14285714285714285
2805,20-24,urban,,,yes,,yes,5.0,,0.2
2806,20-24,urban,,,,,,5.0,,0.11627906976744186
2807,20-24,urban,,,,,yes,5.0,,0.1111111111111111
2808,20-24,urban,,,no,pit latrine with slab,,5.0,,0.1
2809,20-24,urban,,,no,pit latrine with slab,yes,5.0,,0.11764705882352941
2810,20-24,urban,,,,pit latrine with slab,,5.0,,0.12
2811,20-24,urban,,,,pit latrine with slab,yes,5.0,,0.13636363636363635
2812,20-24,urban,,,no,,no,30.0,,0.16666666666666666
2813,20-24,urban,,,no,,yes,30.0,,0.12903225806451613
2814,20-24,urban,,,no,,,30.0,,0.13953488372093023
2815,20-24,urban,,,yes,,,30.0,,0.16129032258064516
2816,20-24,urban,,,yes,,yes,30.0,,0.14814814814814814
2817,20-24,urban,,,,,no,30.0,,0.1875
2818,20-24,urban,,,,,yes,30.0,,0.13793103448275862
2819,20-24,urban,,,,,,30.0,,0.14864864864864866
2820,20-24,urban,,,no,pit latrine with slab,,30.0,,0.09090909090909091
2821,20-24,urban,,,no,pit latrine with slab,yes,30.0,,0.1
2822,20-24,urban,,,yes,pit latrine with slab,,30.0,,0.1
2823,20-24,urban,,,yes,pit latrine with slab,yes,30.0,,0.1
2824,20-24,urban,,,,pit latrine with slab,,30.0,,0.09375
2825,20-24,urban,,,,pit latrine with slab,yes,30.0,,0.1
2826,20-24,urban,,,,ventilated improved pit latrine (vip),,30.0,,0.23076923076923078
2827,20-24,urban,,,,ventilated improved pit latrine (vip),yes,30.0,,0.18181818181818182
2828,20-24,urban,,,no,,,40.0,,0.4444444444444444
2829,20-24,urban,,,no,,yes,40.0,,0.5
2830,20-24,urban,,,,,,40.0,,0.3333333333333333
2831,20-24,urban,,,,,yes,40.0,,0.375
2832,20-24,urban,,,,pit latrine with slab,,40.0,,0.3333333333333333
2833,20-24,urban,,,no,,,25.0,,0.16666666666666666
2834,20-24,urban,,,no,,yes,25.0,,0.2727272727272727
2835,20-24,urban,,,,,,25.0,,0.19047619047619047
2836,20-24,urban,,,,,yes,25.0,,0.2857142857142857
2837,20-24,urban,,,,,,90.0,,0.16666666666666666
2838,20-24,urban,,public tap/standpipe,,,,20.0,,0.125
2839,20-24,urban,,public tap/standpipe,,,yes,20.0,,0.0
2840,20-24,urban,,public tap/standpipe,no,,no,,,0.1875
2841,20-24,urban,,public tap/standpipe,no,,yes,,,0.14925373134328357
2842,20-24,urban,,public tap/standpipe,no,,,,,0.16161616161616163
2843,20-24,urban,,public tap/standpipe,yes,,no,,,0.2777777777777778
2844,20-24,urban,,public tap/standpipe,yes,,yes,,,0.09803921568627451
2845,20-24,urban,,public tap/standpipe,yes,,,,,0.14492753623188406
2846,20-24,urban,,public tap/standpipe,,,no,,,0.22
2847,20-24,urban,,public tap/standpipe,,,yes,,,0.1271186440677966
2848,20-24,urban,,public tap/standpipe,,,,,,0.15476190476190477
2849,20-24,urban,,public tap/standpipe,,,,,55.0,0.0
2850,20-24,urban,,public tap/standpipe,,,,,65.0,0.2857142857142857
2851,20-24,urban,,public tap/standpipe,,no facility/bush/field,,,,0.21428571428571427
2852,20-24,urban,,public tap/standpipe,no,pit latrine with slab,,,,0.08571428571428572
2853,20-24,urban,,public tap/standpipe,no,pit latrine with slab,yes,,,0.09375
2854,20-24,urban,,public tap/standpipe,yes,pit latrine with slab,,,,0.09523809523809523
2855,20-24,urban,,public tap/standpipe,yes,pit latrine with slab,yes,,,0.058823529411764705
2856,20-24,urban,,public tap/standpipe,,pit latrine with slab,no,,,0.14285714285714285
2857,20-24,urban,,public tap/standpipe,,pit latrine with slab,yes,,,0.08163265306122448
2858,20-24,urban,,public tap/standpipe,,pit latrine with slab,,,,0.08928571428571429
2859,20-24,urban,,public tap/standpipe,no,ventilated improved pit latrine (vip),no,,,0.1875
2860,20-24,urban,,public tap/standpipe,no,ventilated improved pit latrine (vip),yes,,,0.125
2861,20-24,urban,,public tap/standpipe,no,ventilated improved pit latrine (vip),,,,0.15625
2862,20-24,urban,,public tap/standpipe,yes,ventilated improved pit latrine (vip),,,,0.23076923076923078
2863,20-24,urban,,public tap/standpipe,yes,ventilated improved pit latrine (vip),yes,,,0.1
2864,20-24,urban,,public tap/standpipe,,ventilated improved pit latrine (vip),no,,,0.2631578947368421
2865,20-24,urban,,public tap/standpipe,,ventilated improved pit latrine (vip),yes,,,0.11538461538461539
2866,20-24,urban,,public tap/standpipe,,ventilated improved pit latrine (vip),,,,0.17777777777777778
2867,20-24,urban,,public tap/standpipe,,flush to septic tank,,,,0.14285714285714285
2868,20-24,urban,,public tap/standpipe,,flush to septic tank,yes,,,0.15384615384615385
2869,20-24,urban,,public tap/standpipe,yes,flush to septic tank,,,,0.16666666666666666
2870,20-24,urban,,public tap/standpipe,yes,flush to septic tank,yes,,,0.18181818181818182
2871,20-24,urban,,public tap/standpipe,no,,,10.0,,0.1111111111111111
2872,20-24,urban,,public tap/standpipe,yes,,,10.0,,0.2
2873,20-24,urban,,public tap/standpipe,yes,,yes,10.0,,0.3333333333333333
2874,20-24,urban,,public tap/standpipe,,,,10.0,,0.14285714285714285
2875,20-24,urban,,public tap/standpipe,,,yes,10.0,,0.2222222222222222
2876,20-24,urban,,public tap/standpipe,,,,15.0,,0.16666666666666666
2877,20-24,urban,,public tap/standpipe,,,yes,15.0,,0.16666666666666666
2878,20-24,urban,,public tap/standpipe,yes,,,15.0,,0.21428571428571427
2879,20-24,urban,,public tap/standpipe,yes,,yes,15.0,,0.15384615384615385
2880,20-24,urban,,public tap/standpipe,,,,60.0,,0.15
2881,20-24,urban,,public tap/standpipe,,,yes,60.0,,0.0
2882,20-24,urban,,public tap/standpipe,yes,,,60.0,,0.07142857142857142
2883,20-24,urban,,public tap/standpipe,yes,,yes,60.0,,0.0
2884,20-24,urban,,public tap/standpipe,,,,5.0,,0.0
2885,20-24,urban,,public tap/standpipe,,,yes,5.0,,0.0
2886,20-24,urban,,public tap/standpipe,no,,,30.0,,0.125
2887,20-24,urban,,public tap/standpipe,yes,,,30.0,,0.15384615384615385
2888,20-24,urban,,public tap/standpipe,yes,,yes,30.0,,0.1111111111111111
2889,20-24,urban,,public tap/standpipe,,,,30.0,,0.13793103448275862
2890,20-24,urban,,public tap/standpipe,,,yes,30.0,,0.1111111111111111
2891,20-24,urban,,piped into dwelling,,,,,,0.0
2892,20-24,urban,,piped into dwelling,,,yes,,,0.0
2893,20-24,urban,,piped into dwelling,yes,,,,,0.0
2894,20-24,urban,,piped into dwelling,yes,,yes,,,0.0
2895,20-24,urban,,piped into dwelling,,flush to septic tank,,,,0.0
2896,20-24,urban,,piped into dwelling,,flush to septic tank,yes,,,0.0
2897,20-24,urban,,piped into dwelling,yes,flush to septic tank,,,,0.0
2898,20-24,urban,,piped into dwelling,yes,flush to septic tank,yes,,,0.0
2899,20-24,urban,,piped into dwelling,,,,0.0,,0.0
2900,20-24,urban,,piped into dwelling,,,yes,0.0,,0.0
2901,20-24,urban,,piped into dwelling,yes,,,0.0,,0.0
2902,20-24,urban,,piped into dwelling,yes,,yes,0.0,,0.0
2903,20-24,urban,,piped into dwelling,,flush to septic tank,,0.0,,0.0
2904,20-24,urban,,piped into dwelling,,flush to septic tank,yes,0.0,,0.0
2905,20-24,urban,,piped into dwelling,yes,flush to septic tank,,0.0,,0.0
2906,20-24,urban,,piped into dwelling,yes,flush to septic tank,yes,0.0,,0.0
2907,20-24,urban,,piped to yard/plot,,,,,,0.20588235294117646
2908,20-24,urban,,piped to yard/plot,,,yes,,,0.2
2909,20-24,urban,,piped to yard/plot,yes,,,,,0.13636363636363635
2910,20-24,urban,,piped to yard/plot,yes,,yes,,,0.15
2911,20-24,urban,,piped to yard/plot,,pit latrine with slab,,,,0.16666666666666666
2912,20-24,urban,,piped to yard/plot,,flush to septic tank,,,,0.2
2913,20-24,urban,,piped to yard/plot,,flush to septic tank,yes,,,0.25
2914,20-24,urban,,piped to yard/plot,yes,flush to septic tank,,,,0.2
2915,20-24,urban,,piped to yard/plot,yes,flush to septic tank,yes,,,0.25
2916,20-24,urban,,piped to yard/plot,,,,0.0,,0.20588235294117646
2917,20-24,urban,,piped to yard/plot,,,yes,0.0,,0.2
2918,20-24,urban,,piped to yard/plot,yes,,,0.0,,0.13636363636363635
2919,20-24,urban,,piped to yard/plot,yes,,yes,0.0,,0.15
2920,20-24,urban,,piped to yard/plot,,pit latrine with slab,,0.0,,0.16666666666666666
2921,20-24,urban,,piped to yard/plot,,flush to septic tank,,0.0,,0.2
2922,20-24,urban,,piped to yard/plot,,flush to septic tank,yes,0.0,,0.25
2923,20-24,urban,,piped to yard/plot,yes,flush to septic tank,,0.0,,0.2
2924,20-24,urban,,piped to yard/plot,yes,flush to septic tank,yes,0.0,,0.25
2925,20-24,urban,,bottled water or sachets,,,,,,0.15789473684210525
2926,20-24,urban,,bottled water or sachets,,,yes,,,0.17647058823529413
2927,20-24,urban,,bottled water or sachets,yes,,,,,0.11764705882352941
2928,20-24,urban,,bottled water or sachets,yes,,yes,,,0.13333333333333333
2929,20-24,urban,,bottled water or sachets,,flush to septic tank,,,,0.0
2930,20-24,urban,,bottled water or sachets,,flush to septic tank,yes,,,0.0
2931,20-24,urban,,bottled water or sachets,yes,flush to septic tank,,,,0.0
2932,20-24,urban,,bottled water or sachets,yes,flush to septic tank,yes,,,0.0
2933,20-24,urban,15.0,,,,,,,0.16666666666666666
2934,20-24,urban,15.0,,,,yes,,,0.16666666666666666
2935,20-24,urban,14.0,,no,,,,,0.0
2936,20-24,urban,14.0,,,,,,,0.0
2937,20-24,urban,14.0,,,,yes,,,0.0
2938,40-44,rural,6.0,,no,pit latrine without slab/open pit,no,,,0.3333333333333333
2939,40-44,rural,6.0,,no,pit latrine without slab/open pit,,,,0.2830188679245283
2940,40-44,rural,6.0,,,pit latrine without slab/open pit,no,,,0.3333333333333333
2941,40-44,rural,6.0,,,pit latrine without slab/open pit,,,,0.2830188679245283
2942,40-44,rural,6.0,,no,no facility/bush/field,no,,,0.25301204819277107
2943,40-44,rural,6.0,,no,no facility/bush/field,,,,0.30327868852459017
2944,40-44,rural,6.0,,,no facility/bush/field,no,,,0.25301204819277107
2945,40-44,rural,6.0,,,no facility/bush/field,,,,0.30327868852459017
2946,40-44,rural,6.0,,no,,no,,,0.28
2947,40-44,rural,6.0,,no,,no,,40.0,0.1724137931034483
2948,40-44,rural,6.0,,no,,yes,,,0.2689075630252101
2949,40-44,rural,6.0,,no,,,,,0.27586206896551724
2950,40-44,rural,6.0,,no,,,,40.0,0.24705882352941178
2951,40-44,rural,6.0,,,,no,,,0.28
2952,40-44,rural,6.0,,,,no,,40.0,0.1724137931034483
2953,40-44,rural,6.0,,,,yes,,,0.2689075630252101
2954,40-44,rural,6.0,,,,,,,0.27586206896551724
2955,40-44,rural,6.0,,,,,,40.0,0.24705882352941178
2956,40-44,rural,6.0,unprotected spring,no,,,,,0.3402061855670103
2957,40-44,rural,6.0,unprotected spring,,,,,,0.3402061855670103
2958,40-44,rural,6.0,protected well,no,,,,,0.2903225806451613
2959,40-44,rural,6.0,protected well,,,,,,0.2903225806451613
2960,40-44,rural,3.0,,no,,,,,0.18518518518518517
2961,40-44,rural,3.0,,,,,,,0.18518518518518517
2962,40-44,rural,7.0,,no,pit latrine without slab/open pit,,,,0.3153153153153153
2963,40-44,rural,7.0,,no,pit latrine without slab/open pit,yes,,,0.30357142857142855
2964,40-44,rural,7.0,,,pit latrine without slab/open pit,,,,0.3153153153153153
2965,40-44,rural,7.0,,,pit latrine without slab/open pit,yes,,,0.30357142857142855
2966,40-44,rural,7.0,,no,no facility/bush/field,,,,0.14583333333333334
2967,40-44,rural,7.0,,,no facility/bush/field,,,,0.14583333333333334
2968,40-44,rural,7.0,,no,pit latrine with slab,,,,0.125
2969,40-44,rural,7.0,,,pit latrine with slab,,,,0.125
2970,40-44,rural,7.0,,no,ventilated improved pit latrine (vip),,,,0.23076923076923078
2971,40-44,rural,7.0,,,ventilated improved pit latrine (vip),,,,0.23076923076923078
2972,40-44,rural,7.0,,no,,no,,,0.24031007751937986
2973,40-44,rural,7.0,,no,,yes,,,0.21693121693121692
2974,40-44,rural,7.0,,no,,,,,0.22641509433962265
2975,40-44,rural,7.0,,,,no,,,0.24031007751937986
2976,40-44,rural,7.0,,,,yes,,,0.21693121693121692
2977,40-44,rural,7.0,,,,,,,0.22641509433962265
2978,40-44,rural,7.0,,no,,,15.0,,0.22058823529411764
2979,40-44,rural,7.0,,,,,15.0,,0.22058823529411764
2980,40-44,rural,7.0,tube well or borehole,no,,,,,0.2878787878787879
2981,40-44,rural,7.0,tube well or borehole,,,,,,0.2878787878787879
2982,40-44,rural,7.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,,0.2345679012345679
2983,40-44,rural,7.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,,0.2345679012345679
2984,40-44,rural,4.0,,no,pit latrine without slab/open pit,,,,0.26666666666666666
2985,40-44,rural,4.0,,,pit latrine without slab/open pit,,,,0.26666666666666666
2986,40-44,rural,4.0,,no,no facility/bush/field,,,,0.3764705882352941
2987,40-44,rural,4.0,,,no facility/bush/field,,,,0.3764705882352941
2988,40-44,rural,4.0,,no,,no,,,0.35766423357664234
2989,40-44,rural,4.0,,no,,yes,,,0.2018348623853211
2990,40-44,rural,4.0,,no,,,,,0.2886178861788618
2991,40-44,rural,4.0,,,,no,,,0.35766423357664234
2992,40-44,rural,4.0,,,,yes,,,0.2018348623853211
2993,40-44,rural,4.0,,,,,,,0.2886178861788618
2994,40-44,rural,4.0,,no,,,10.0,,0.3191489361702128
2995,40-44,rural,4.0,,,,,10.0,,0.3191489361702128
2996,40-44,rural,5.0,,no,pit latrine without slab/open pit,,,,0.32894736842105265
2997,40-44,rural,5.0,,no,pit latrine without slab/open pit,yes,,,0.390625
2998,40-44,rural,5.0,,,pit latrine without slab/open pit,,,,0.32894736842105265
2999,40-44,rural,5.0,,,pit latrine without slab/open pit,yes,,,0.390625
3000,40-44,rural,5.0,,no,no facility/bush/field,no,,,0.11764705882352941
3001,40-44,rural,5.0,,no,no facility/bush/field,,,,0.13934426229508196
3002,40-44,rural,5.0,,,no facility/bush/field,no,,,0.11764705882352941
3003,40-44,rural,5.0,,,no facility/bush/field,,,,0.13934426229508196
3004,40-44,rural,5.0,,no,,no,,,0.16279069767441862
3005,40-44,rural,5.0,,no,,yes,,,0.32682926829268294
3006,40-44,rural,5.0,,no,,,,,0.2634730538922156
3007,40-44,rural,5.0,,no,,,,40.0,0.26
3008,40-44,rural,5.0,,,,no,,,0.16279069767441862
3009,40-44,rural,5.0,,,,yes,,,0.32682926829268294
3010,40-44,rural,5.0,,,,,,,0.2634730538922156
3011,40-44,rural,5.0,,,,,,40.0,0.26
3012,40-44,rural,5.0,,no,ventilated improved pit latrine (vip),,,,0.35
3013,40-44,rural,5.0,,no,ventilated improved pit latrine (vip),yes,,,0.3728813559322034
3014,40-44,rural,5.0,,,ventilated improved pit latrine (vip),,,,0.35
3015,40-44,rural,5.0,,,ventilated improved pit latrine (vip),yes,,,0.3728813559322034
3016,40-44,rural,5.0,unprotected spring,no,,,,,0.24675324675324675
3017,40-44,rural,5.0,unprotected spring,no,,yes,,,0.34
3018,40-44,rural,5.0,unprotected spring,,,,,,0.24675324675324675
3019,40-44,rural,5.0,unprotected spring,,,yes,,,0.34
3020,40-44,rural,5.0,protected well,no,,,,,0.35294117647058826
3021,40-44,rural,5.0,protected well,no,,yes,,,0.39344262295081966
3022,40-44,rural,5.0,protected well,,,,,,0.35294117647058826
3023,40-44,rural,5.0,protected well,,,yes,,,0.39344262295081966
3024,40-44,rural,5.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,,0.288135593220339
3025,40-44,rural,5.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,,0.288135593220339
3026,40-44,rural,10.0,,no,pit latrine without slab/open pit,,,,0.18811881188118812
3027,40-44,rural,10.0,,,pit latrine without slab/open pit,,,,0.18811881188118812
3028,40-44,rural,10.0,,no,,,,,0.19021739130434784
3029,40-44,rural,10.0,,no,,yes,,,0.19852941176470587
3030,40-44,rural,10.0,,,,,,,0.18974358974358974
3031,40-44,rural,10.0,,,,yes,,,0.19727891156462585
3032,40-44,rural,10.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,,0.24096385542168675
3033,40-44,rural,10.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,,0.24096385542168675
3034,40-44,rural,8.0,,no,pit latrine without slab/open pit,,,,0.12790697674418605
3035,40-44,rural,8.0,,,pit latrine without slab/open pit,,,,0.12790697674418605
3036,40-44,rural,8.0,,no,no facility/bush/field,,,,0.20238095238095238
3037,40-44,rural,8.0,,,no facility/bush/field,,,,0.20238095238095238
3038,40-44,rural,8.0,,no,,no,,,0.24107142857142858
3039,40-44,rural,8.0,,no,,yes,,,0.19480519480519481
3040,40-44,rural,8.0,,no,,,,,0.21428571428571427
3041,40-44,rural,8.0,,,,no,,,0.24107142857142858
3042,40-44,rural,8.0,,,,yes,,,0.19480519480519481
3043,40-44,rural,8.0,,,,,,,0.21428571428571427
3044,40-44,rural,8.0,unprotected spring,no,,,,,0.1206896551724138
3045,40-44,rural,8.0,unprotected spring,,,,,,0.1206896551724138
3046,40-44,rural,8.0,protected well,no,,,,,0.1320754716981132
3047,40-44,rural,8.0,protected well,,,,,,0.1320754716981132
3048,40-44,rural,8.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,,0.17857142857142858
3049,40-44,rural,8.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,,0.17857142857142858
3050,40-44,rural,9.0,,no,pit latrine without slab/open pit,,,,0.25
3051,40-44,rural,9.0,,no,pit latrine without slab/open pit,yes,,,0.24
3052,40-44,rural,9.0,,,pit latrine without slab/open pit,,,,0.25
3053,40-44,rural,9.0,,,pit latrine without slab/open pit,yes,,,0.24
3054,40-44,rural,9.0,,no,no facility/bush/field,,,,0.2876712328767123
3055,40-44,rural,9.0,,,no facility/bush/field,,,,0.2876712328767123
3056,40-44,rural,9.0,,no,,no,,,0.21904761904761905
3057,40-44,rural,9.0,,no,,yes,,,0.21379310344827587
3058,40-44,rural,9.0,,no,,,,,0.216
3059,40-44,rural,9.0,,,,no,,,0.21904761904761905
3060,40-44,rural,9.0,,,,yes,,,0.21379310344827587
