,Age in 5-year groups,Type of place of residence,Number of household members,Has electricity,under-5 mortality,Type of toilet facility,Has radio,Time to get to water source (minutes),Source of drinking water
288,15-19,urban,,no,0.13043478260869565,,,10.0,
289,15-19,urban,,,0.10714285714285714,,,10.0,
290,15-19,urban,,,0.05,,yes,10.0,
291,15-19,urban,,,0.25,,,30.0,
292,15-19,urban,,no,0.16666666666666666,,,,protected well
293,15-19,urban,,no,0.16666666666666666,,yes,,protected well
294,15-19,urban,,yes,0.13333333333333333,,,,protected well
295,15-19,urban,,yes,0.14285714285714285,,yes,,protected well
296,15-19,urban,,,0.15942028985507245,,,,protected well
297,15-19,urban,,no,0.1,pit latrine with slab,,,protected well
298,15-19,urban,,no,0.07142857142857142,pit latrine with slab,yes,,protected well
299,15-19,urban,,,0.07142857142857142,pit latrine with slab,,,protected well
300,15-19,urban,,,0.045454545454545456,pit latrine with slab,yes,,protected well
301,15-19,urban,,,0.08695652173913043,,,0.0,protected well
302,15-19,urban,,no,0.16129032258064516,,,,public tap/standpipe
303,15-19,urban,,yes,0.14285714285714285,,,,public tap/standpipe
304,15-19,urban,,yes,0.25,,yes,,public tap/standpipe
305,15-19,urban,,,0.15789473684210525,,,,public tap/standpipe
306,15-19,urban,7.0,,0.21739130434782608,,,,
307,15-19,urban,5.0,,0.3333333333333333,,,,
308,15-19,urban,8.0,,0.21052631578947367,,,,
309,15-19,urban,9.0,,0.0,,,,
310,45-49,rural,,no,0.26627218934911245,pit latrine without slab/open pit,,,
311,45-49,rural,,,0.265748031496063,pit latrine without slab/open pit,,,
312,45-49,rural,,no,0.2626728110599078,no facility/bush/field,,,
313,45-49,rural,,,0.2633979475484607,no facility/bush/field,,,
314,45-49,rural,,no,0.27176566314076483,,no,,
315,45-49,rural,,no,0.2576193214491087,,yes,,
316,45-49,rural,,no,0.2637768817204301,,,,
317,45-49,rural,,,0.2580275229357798,,yes,,
318,45-49,rural,,,0.26529255319148937,,,,
319,45-49,rural,,no,0.27180232558139533,,,,unprotected spring
320,45-49,rural,,,0.27180232558139533,,,,unprotected spring
321,45-49,rural,,,0.2476780185758514,,,,river/dam/lake/ponds/stream/canal/irrigation channel
322,45-49,urban,,no,0.24597918637653737,,,,
323,45-49,urban,,no,0.24171779141104294,,yes,,
324,45-49,urban,,,0.2303330970942594,,,,
325,45-49,urban,,,0.22452504317789293,,yes,,
